City Name,City Name (in Ukrainian),Subdivision,City status,Population (2001 Census)
Antratsyt,????????,Luhansk Oblast,O,"63,698"
Stryi,?????,Lviv Oblast,O,"62,479"
Kolomyia,???????,Ivano-Frankivsk Oblast,O,"61,989"
Shakhtarsk,?????????,Donetsk Oblast,O,"59,589"
Snizhne,??????,Donetsk Oblast,O,"58,496"
Novohrad-Volynskyi,????????-??????????,Zhytomyr Oblast,O,"56,259"
Enerhodar,?????????,Zaporizhia Oblast,O,"56,242"
Izium,????,Kharkiv Oblast,O,"56,114"
Dymytrov,????????,Donetsk Oblast,O,"54,787"
Brianka,??????,Luhansk Oblast,O,"54,767"
Illichivsk,??????????,Odessa Oblast,O,"54,151"
Boryspil,?????????,Kiev Oblast,O,"53,975"
Novovolynsk,????????????,Volyn Oblast,O,"53,838"
Rovenky,????????,Luhansk Oblast,O,"53,725"
Zhovti Vody,????? ????,Dnipropetrovsk Oblast,O,"53,582"
Lubny,?????,Poltava Oblast,O,"52,572"
Nova Kakhovka,???? ???????,Kherson Oblast,O,"52,137"
Fastiv,??????,Kiev Oblast,O,"51,976"
Bilhorod-Dnistrovskyi,????????-?????????????,Odessa Oblast,O,"51,890"
Komsomolsk,????????????,Poltava Oblast,O,"51,740"
Krasnodon,?????????,Luhansk Oblast,O,"50,560"
Romny,?????,Sumy Oblast,O,"50,448"
Okhtyrka,???????,Sumy Oblast,O,"50,399"
Svitlovodsk,????????????,Kirovohrad Oblast,O,"50,094"
Marhanets,?????????,Dnipropetrovsk Oblast,O,"49,592"
Shepetivka,?????????,Khmelnytskyi Oblast,O,"48,212"
Ordzhonikidze,????????????,Dnipropetrovsk Oblast,O,"44,834"
Dzerzhynsk,??????????,Donetsk Oblast,O,"43,371"
Dzhankoy,???????,Crimea,O,"43,343"
Pervomaisk,???????????,Luhansk Oblast,O,"43,082"
Myrhorod,????????,Poltava Oblast,O,"42,886"
Voznesensk,???????????,Mykolaiv Oblast,O,"42,634"
Kotovsk,????????,Odessa Oblast,O,"40,718"
Irpin,??????,Kiev Oblast,O,"40,593"
Vasylkiv,?????????,Kiev Oblast,O,"39,722"
Dubno,?????,Rivne Oblast,O,"39,146"
Kuznetsovsk,???????????,Rivne Oblast,O,"38,830"
Volodymyr-Volynskyi,?????????-??????????,Volyn Oblast,O,"38,256"
Kakhovka,???????,Kherson Oblast,O,"38,238"
Yuzhnoukrainsk,?????????????,Mykolaiv Oblast,O,"38,206"
Boryslav,????????,Lviv Oblast,O,"38,122"
Yasynuvata,?????????,Donetsk Oblast,O,"37,552"
Zhmerynka,????????,Vinnytsia Oblast,O,"37,349"
Avdiivka,????????,Donetsk Oblast,O,"37,210"
Chuhuiv,??????,Kharkiv Oblast,O,"36,789"
Sambir,??????,Lviv Oblast,O,"36,556"
Tokmak,??????,Zaporizhia Oblast,O,"36,275"
Boiarka,??????,Kiev Oblast,R,"35,968"
Hlukhiv,??????,Sumy Oblast,O,"35,768"
Dobropillia,??????????,Donetsk Oblast,O,"35,638"
Starokostiantyniv,????????????????,Khmelnytskyi Oblast,O,"35,206"
Kirovsk,????????,Luhansk Oblast,O,"35,199"
Vyshneve,???????,Kiev Oblast,R,"34,465"
Netishyn,???????,Khmelnytskyi Oblast,O,"34,358"
Slavuta,???????,Khmelnytskyi Oblast,O,"34,340"
Mohyliv-Podilskyi,???????-???????????,Vinnytsia Oblast,O,"32,853"
Obukhiv,??????,Kiev Oblast,O,"32,776"
Pervomaiskyi,?????????????,Kharkiv Oblast,O,"32,523"
Kupiansk,???'?????,Kharkiv Oblast,O,"32,449"
Balakliia,????????,Kharkiv Oblast,R,"32,408"
